lat,lon
45.3334000,-79.2234800
45.3333638,-79.2235971
45.3333277,-79.2237143
45.3332915,-79.2238314
45.3332553,-79.2239485
45.3332191,-79.2240656
45.3332059,-79.2241704
45.3332876,-79.2242238
45.3333693,-79.2242772
45.3334511,-79.2243305
45.3335363,-79.2243700
45.3336262,-79.2243700
45.3337161,-79.2243700
45.3338045,-79.2243470
45.3338900,-79.2243083
45.3339742,-79.2242636
45.3340533,-79.2242038
45.3341301,-79.2241372
45.3341959,-79.2240512
45.3342578,-79.2239584
45.3343110,-79.2238565
45.3343549,-79.2237448
45.3343988,-79.2236332
45.3344426,-79.2235215
45.3344865,-79.2234098
45.3345375,-79.2233052
45.3345966,-79.2232088
45.3346557,-79.2231123
45.3347176,-79.2230201
45.3347879,-79.2229404
45.3348586,-79.2228614
45.3349322,-79.2227878
45.3350106,-79.2227268
45.3350940,-79.2226791
45.3351811,-79.2226484
45.3352690,-79.2226216
45.3353534,-79.2225843
45.3354292,-79.2225221
45.3355175,-79.2224984
45.3356059,-79.2224746
45.3356943,-79.2224508
45.3357826,-79.2224270
45.3358710,-79.2224032
45.3359594,-79.2223793
45.3360477,-79.2223552
45.3361360,-79.2223311
45.3362243,-79.2223070
45.3363126,-79.2222829
45.3364010,-79.2222588
45.3364893,-79.2222347
45.3365776,-79.2222107
45.3366659,-79.2221866
45.3367543,-79.2221625
45.3368426,-79.2221384
45.3369311,-79.2221168
45.3370192,-79.2220913
45.3371073,-79.2220657
45.3371954,-79.2220402
45.3372836,-79.2220146
45.3373717,-79.2219891
45.3374598,-79.2219635
45.3375479,-79.2219380
45.3376362,-79.2219135
45.3377247,-79.2218913
45.3378133,-79.2218692
45.3379026,-79.2218552
45.3379923,-79.2218471
45.3380821,-79.2218404
45.3381720,-79.2218438
45.3382619,-79.2218471
45.3383516,-79.2218535
45.3384396,-79.2218799
45.3385276,-79.2219063
45.3386136,-79.2219432
45.3386993,-79.2219819
45.3387850,-79.2220207
45.3388581,-79.2220213
45.3388917,-79.2219026
45.3389252,-79.2217839
45.3389588,-79.2216652
45.3389919,-79.2215462
45.3390242,-79.2214268
45.3390566,-79.2213075
45.3390890,-79.2211881
45.3391214,-79.2210687
45.3391400,-79.2210000
